CATEGORIZED_LIGHT_CONDITION,CATEGORIZED_ROAD_SURFACE,LIGHT_SURFACE,SEVERITY_MEAN,SEVERITY_VARIANCE,SERIOUS_FATAL_PERCENT
Dark without Lighting,Unpaved,Dark without Lighting_Unpaved,2.3945578231292517,0.35010716615413257,55.10204081632652
Dark without Lighting,Paved,Dark without Lighting_Paved,2.4391608391608393,0.35245675831491097,50.77745783628137
Dark without Lighting,Gravel,Dark without Lighting_Gravel,2.4405940594059405,0.3260016289042191,51.98019801980198
Dark with Lighting,Paved,Dark with Lighting_Paved,2.588153928733639,0.2722935508868697,39.68991287831867
Limited Light,Gravel,Limited Light_Gravel,2.58982683982684,0.2660285723666004,39.82683982683983
Daylight,Unpaved,Daylight_Unpaved,2.6042746113989637,0.26520530626362065,38.27720207253886
Daylight,Gravel,Daylight_Gravel,2.610534808667589,0.2631696966556531,37.67865375749193
Dark with Lighting,Gravel,Dark with Lighting_Gravel,2.6113161131611315,0.25021661546664736,38.25338253382534
Limited Light,Unpaved,Limited Light_Unpaved,2.6126126126126126,0.25765765765765775,37.83783783783784
Daylight,Paved,Daylight_Paved,2.6306795288094618,0.25970705504302055,35.59669123746771
